,Date,monthly_return_per,president
395,1904-01-31,1.6742770167427614,Theodore Roosevelt
396,1904-02-29,-2.6946107784431095,Theodore Roosevelt
397,1904-03-31,-0.30769230769230116,Theodore Roosevelt
398,1904-04-30,2.469135802469124,Theodore Roosevelt
399,1904-05-31,-2.108433734939754,Theodore Roosevelt
400,1904-06-30,0.15384615384615058,Theodore Roosevelt
401,1904-07-31,4.147465437788026,Theodore Roosevelt
402,1904-08-31,3.392330383480819,Theodore Roosevelt
403,1904-09-30,4.422253922967196,Theodore Roosevelt
404,1904-10-31,5.874316939890707,Theodore Roosevelt
405,1904-11-30,5.419354838709676,Theodore Roosevelt
406,1904-12-31,0.9791921664626693,Theodore Roosevelt
407,1905-01-31,2.1818181818181785,Theodore Roosevelt
408,1905-02-28,4.3890865954923015,Theodore Roosevelt
409,1905-03-31,2.840909090909091,Theodore Roosevelt
410,1905-04-30,-1.2154696132596816,Theodore Roosevelt
411,1905-05-31,-4.921700223713641,Theodore Roosevelt
412,1905-06-30,1.17647058823529,Theodore Roosevelt
413,1905-07-31,3.1395348837209256,Theodore Roosevelt
414,1905-08-31,3.7204058624577234,Theodore Roosevelt
415,1905-09-30,0.3260869565217515,Theodore Roosevelt
416,1905-10-31,1.4084507042253411,Theodore Roosevelt
417,1905-11-30,-0.5341880341880229,Theodore Roosevelt
418,1905-12-31,2.470461868958095,Theodore Roosevelt
419,1906-01-31,3.4591194968553474,Theodore Roosevelt
420,1906-02-28,-0.7092198581560133,Theodore Roosevelt
421,1906-03-31,-2.4489795918367365,Theodore Roosevelt
422,1906-04-30,-1.3598326359832718,Theodore Roosevelt
423,1906-05-31,-2.651113467656416,Theodore Roosevelt
424,1906-06-30,1.307189542483671,Theodore Roosevelt
425,1906-07-31,-2.5806451612903247,Theodore Roosevelt
426,1906-08-31,7.395143487858719,Theodore Roosevelt
427,1906-09-30,3.0832476875642234,Theodore Roosevelt
428,1906-10-31,-2.9910269192422625,Theodore Roosevelt
429,1906-11-30,2.055498458376149,Theodore Roosevelt
430,1906-12-31,-0.9063444108761315,Theodore Roosevelt
431,1907-01-31,-2.8455284552845463,Theodore Roosevelt
432,1907-02-28,-3.138075313807539,Theodore Roosevelt
433,1907-03-31,-9.827213822894171,Theodore Roosevelt
434,1907-04-30,0.4790419161676758,Theodore Roosevelt
435,1907-05-31,-3.4564958283671143,Theodore Roosevelt
436,1907-06-30,-3.209876543209874,Theodore Roosevelt
437,1907-07-31,3.826530612244907,Theodore Roosevelt
438,1907-08-31,-7.493857493857497,Theodore Roosevelt
439,1907-09-30,-1.0624169986719798,Theodore Roosevelt
440,1907-10-31,-10.872483221476518,Theodore Roosevelt
